Code,Port,Price(US$/tCO2e)
1,Singapore,3.7
2,Shenzhen,12.57
3,Ningbo,12.57
4,Shanghai,12.57
5,Rotterdam,71.48
6,Qingdao,12.57
7,Busan,6.3
8,hamburger,48.37
9,Antwerp,61.3
10,Tianjin,12.57
11,Xiamen,12.57
12,Le Havre,47.94
13,Felixstowe,61.3
14,Kaohsiung,9.12
15,Algeciras,61.3
16,Tangier,0
17,Tanjung Pelepas Port,0
18,Guangzhou,12.57
19,Southampton,61.3
20,Colombo,0
21,Dalian,12.57
22,Klang,0
23,Hong Kong,12.57
24,Piraeus,61.3
25,Wilhelmshaven,48.37
26,Valencia,61.3
27,Tokyo,1.91
28,Gdańsk,61.3
29,Kobe,1.91
30,Barcelona,61.3
31,Dunkirk,47.94
32,London,61.3
33,Taipei,9.12
34,Badi Toudun,0
35,Bremen Hafen Port,48.37
36,Nagoya,1.91
37,Zebuluhe,61.3
38,Abu Dhabi,0
39,Binhai Foss,47.94
40,Gaimei Port (Vietnam),0
41,clear water,1.91
42,Genoa,61.3
43,Abdullah,0
44,Aarhus,28.21
45,Damietta,0
46,Dubai,0
47,Gothenburg,127.26
48,Jeddah,0
49,Gioia Tauro ,61.3
50,La Spezia,61.3
51,Laem Chabang Port,0
52,Melsin,0
53,Port Said,0
54,Alexander,0
55,Istanbul,0
56,Aliaga,1.91
57,Ashdod,0
58,Beirut,0
59,Dailinjie Port,0
60,Trieste,0
61,Haifa,61.3
62,Koper,0
63,Rijeka,61.3
64,Port of Marsashlock,61.3
65,salalah port ,61.3
66,Sinis Port,0
67,Alamja,61.3
